group,TD-DOA,keyword
Legal,73,file screening
Legal,73,RTW
Normal,59,file screening
Normal,62,file screening
Normal,324,MAB
Normal,324,MAB
Legal,20,file screening
Legal,340,MAB
Legal,251,RTW
Legal,340,MAB
Legal,744,Legal
Legal,999,DS - Succeed
Legal,42,file screening
Legal,371,file screening
Legal,371,RTW
Legal,488,MAB
Legal,483,DS
Legal,496,DS
Legal,488,MAB
Legal,497,RTW
Legal,536,DS
Legal,586,MAB-2nd
Legal,781,DS - Succeed
Normal,112,MAB
Normal,69,HLM
Normal,69,RTW
Normal,69,HLM
Normal,112,MAB
Normal,110,RTW
Normal,110,HLM
Legal,64,file screening
Legal,73,file screening
Legal,196,DS
Legal,430,MAB
Legal,883,DS
Legal,762,DS
Legal,762,DS
Legal,859,DS - Succeed
Legal,41,file screening
Legal,132,file screening
Legal,405,MAB
Legal,572,MAB
Legal,35,file screening
Legal,41,RTW
Legal,108,file screening
Legal,108,RTW
Legal,84,file screening
Legal,32,RTW
Legal,118,RTW
Legal,432,MAB
Legal,459,DS
Legal,555,RTW
Legal,620,DS
Legal,678,RTW
Legal,678,DS
Legal,871,DS - Succeed
Legal,195,file screening
Legal,1557,MAB
Legal,25,file screening
Legal,66,file screening
Legal,127,RTW
Legal,152,RTW
Legal,166,RTW
Legal,317,MAB
Legal,337,RTW
Legal,73,file screening
Legal,74,HLM
Legal,104,RTW
Legal,130,RTW
Legal,162,RTW
Legal,188,RTW
Legal,214,RTW
Legal,245,RTW
Legal,277,RTW
Legal,318,RTW
Legal,347,RTW
Legal,518,MAB
Legal,496,RTW
Legal,518,MAB
Legal,665,MAB-2nd
DS,47,RTW
DS,111,DS
DS,188,DS
DS,188,DS - Succeed
Legal,55,file screening
Legal,56,HLM
Legal,201,MAB
Legal,351,RTW
Legal,379,RTW
Legal,583,RTW
Legal,619,DS - Succeed
Legal,114,file screening
Legal,423,MAB
Legal,34,RTW
Legal,99,DS
Legal,230,DS
Legal,31,RTW
Legal,45,RTW
Legal,58,RTW
Legal,148,RTW
Legal,269,DS
Legal,694,DS
Legal,722,DS
Legal,474,MAB
Legal,565,MAB-2nd
Legal,751,DS
Legal,148,file screening
Legal,148,HLM
Legal,457,MAB
Legal,64,RTW
Legal,56,file screening
Legal,13,RTW
Legal,499,MAB
Legal,587,DS
Legal,594,DS
Legal,489,MAB
Legal,577,DS
Normal,67,file screening
Legal,178,RTW
Legal,201,RTW
Legal,221,RTW
Legal,276,RTW
Legal,334,RTW
Legal,381,DS
Legal,377,MAB
Legal,405,DS
Legal,413,DS
Legal,448,DS
Legal,448,DS - Succeed
Legal,51,RTW
Legal,317,MAB
Legal,302,RTW
Legal,386,DS - Succeed
Legal,585,DS - Succeed
Legal,453,DS
Legal,553,MAB-2nd
Normal,15,file screening
Normal,73,file screening
Normal,74,file screening
Legal,66,file screening
Legal,278,MAB
Legal,278,MAB
