tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0080682,1980,Emperor Chien Lung and the Beauty,Hong Kong,1,en,100,"Action,Comedy,History",6.5,53
tt0081228,1980,Night Games,Hong Kong/United States,1,\N,100,Drama,4.8,348
tt0081784,1980,Yeh che,Hong Kong,1,yue,100,"Crime,Drama,Thriller",6.7,46
tt0165427,1980,Carry on Wise Guy,Hong Kong,1,en,100,"Action,Comedy",5.8,98
tt0081404,1980,Dai sat sei fong,Hong Kong,1,yue,99,Action,6.4,303
tt0081494,1980,Shao Lin da peng da shi,Hong Kong,1,\N,99,"Action,Comedy",6.9,4213
tt0292377,1980,The Stud and the Nymph (1980),Hong Kong,1,en,99,"Drama,Mystery",4.7,50
tt0445388,1980,The Informer,Hong Kong,1,en,99,"Action,Crime,Drama",6.5,34
tt0080529,1980,Rendezvous with Death,Hong Kong,1,en,98,"Action,Adventure,Mystery",6.7,146
tt0081497,1980,Lackey and the Lady Tiger,Hong Kong,1,en,98,"Action,Drama",6.4,55
tt0083313,1980,Killer Constable,Hong Kong,1,en,98,"Action,Drama",6.9,510
tt1999998,1980,The Jade Hairpin Alliance,Taiwan/Hong Kong,1,en,98,"Action,Adventure",6.1,15
tt0080996,1980,Tung tin siu ji hung cheong haak,Hong Kong,1,yue,97,"Action,Comedy",5.9,127
